track_id,danceability,energy,acousticness,valence,tempo,loudness
4fUKE8EULjQdHF4zb0M8FO,0.451,0.673,0.0857,0.583,95.513,-9.115
2RnPATK99oGOZygnD2GTO6,0.705,0.515,0.365,0.803,112.035,-9.343
25yQPHgC35WNnnOUqFhgVR,0.311,0.325,0.0469,0.668,65.09,-9.042
3LtOmWpTXLhilL5odoKysR,0.632,0.471,0.313,0.764,121.672,-7.887
3pKKxkeB1pOUMHwWBmKc3Y,0.469,0.507,0.382,0.619,112.984,-8.917
3PjMtNzwhDHqxoKudm6GvF,0.381,0.214,0.944,0.393,127.581,-11.629
6W35n1UlkvqhfMZstB4BXs,0.526,0.413,0.338,0.71,111.874,-9.865
3Umg8CDhO8dOSj7yBTInYb,0.352,0.479,0.339,0.354,126.166,-9.965
1NrbnHlR2BFREcyWXHIHip,0.704,0.241,0.625,0.661,140.411,-13.258
6h9W5FxX4E9lUFsyq8j1AD,0.61,0.471,0.0634,0.63,87.379,-9.151
0xIuNHHcKI1JDuBPlSwzb1,0.542,0.618,0.0858,0.93,121.849,-8.876
42ocGQCOT0xYtV3f5kJDsD,0.653,0.889,0.0061,0.879,118.773,-8.006
0hKRSZhUGEhKU6aNSPBACZ,0.364,0.457,0.29,0.175,163.219,-14.162
2CQRYn5cTD2B9a1ONjhTN2,0.396,0.686,0.725,0.717,124.318,-5.607
4fJtDPJ2NiLfFfZfu8HyYc,0.436,0.434,0.119,0.121,88.872,-7.965
0VJZtH2OjNKskNegMVIzYR,0.598,0.553,0.565,0.356,116.04,-7.473
6gDRRyg6bSODdwbuUBupoU,0.117,0.243,0.0985,0.102,85.94,-11.335
2Bjic7K9fTNS8pYuMXq8Va,0.317,0.584,0.544,0.681,166.209,-6.245
3GsgJI1aBrvUtqX8f3MhKT,0.279,0.31,0.254,0.0807,87.872,-13.113
2ULL3VZf4WwBKO4vjwT7Bg,0.567,0.745,0.402,0.903,125.575,-5.423
6iGU74CwXuT4XVepjc9Emf,0.521,0.487,0.253,0.483,117.072,-7.525
5VsxBUyw0TRwVC7ja1CIBc,0.602,0.739,0.123,0.569,116.668,-5.715
3Ev5ATks540KaOFTjIH97S,0.52,0.75,0.489,0.652,121.082,-5.26
4CuO8TINNqM3D7aUdNQ3zG,0.22,0.581,0.513,0.445,186.427,-5.877
6CcgkjU9891S2S4lHKXaYh,0.628,0.768,0.0837,0.798,116.844,-6.406
5RSQKtG1KNwrzFMEePpjt6,0.402,0.426,0.775,0.641,75.866,-9.662
4ZSBGLE9j9buk6DXVSryBI,0.611,0.741,0.342,0.506,115.628,-4.408
2Gy7qnDwt8Z3MNxqat4CsK,0.392,0.629,0.718,0.72,124.511,-7.056
0SMo38XgNvaBTNKo7skEKt,0.424,0.335,0.268,0.208,88.465,-10.032
0mmNp0RzyHH5Svf1j3pc0W,0.615,0.538,0.733,0.509,115.027,-8.488
2DM11p648RhfSDY85d9ibj,0.131,0.184,0.245,0.0674,62.474,-11.84
2VQhc1Qo1pye020xrtOIVW,0.343,0.495,0.469,0.544,166.633,-9.317
699lerUa9A4Wfh9S3WJ4K5,0.33,0.242,0.118,0.086,87.452,-16.537
4BRkPBUxOYffM2QXVlq7aC,0.469,0.596,0.0101,0.783,133.586,-8.348
5GjPQ0eI7AgmOnADn1EO6Q,0.581,0.28,0.936,0.813,137.831,-9.091
2ylCrFiBu98SC0vFfaCent,0.494,0.47,0.21,0.698,103.477,-9.599
4RdJFhfLQcezwN5LsXl4qP,0.391,0.593,0.7,0.707,123.986,-8.999
2B4Y9u4ERAFiMo13XPJyGP,0.29,0.247,0.921,0.36,165.361,-12.125
50xwQXPtfNZFKFeZ0XePWc,0.604,0.549,0.531,0.696,111.398,-9.873
3VSuWxZM6x6V3ig5nYtikL,0.329,0.678,0.103,0.672,106.476,-7.878
7HTH1ppjkkOe7RLoBDKXYJ,0.77,0.496,0.719,0.571,117.331,-8.45
4KRgqwb4kvBuTz1utbYxfb,0.555,0.65,0.0067,0.966,132.59,-6.936
1kDkaFlmkdEZiVUogaP9OZ,0.483,0.351,0.783,0.713,81.208,-10.487
1ob06Ol8FMIPQgjpg7bMyk,0.394,0.64,0.164,0.574,164.626,-8.992
7orb0y6ySGdsYZywMoQtsD,0.493,0.525,0.182,0.449,127.492,-9.289
3tGhRLgcCP6SIZU3tbGl7l,0.521,0.524,0.42,0.711,136.679,-6.136
00oZhqZIQfL9P5CjOP6JsO,0.38,0.829,8.4e-05,0.0534,125.887,-6.105
3AhXZa8sUQht0UEdBJgpGc,0.482,0.721,0.731,0.557,95.263,-6.839
5JqsRFZYDtIK5Rgeuzd2Jv,0.504,0.808,0.408,0.653,123.866,-7.25
2yaf46YMxA5y6bzmWUKgXC,0.493,0.579,0.772,0.475,93.353,-7.743
6txGFpco4cfgG1sA1MxLCp,0.287,0.72,0.756,0.709,176.302,-6.231
0f5N14nB8xi0p3o4BlVvbx,0.473,0.574,0.695,0.499,74.056,-8.189
0c2DAekH6ZEnHhf8dM1leK,0.369,0.691,0.778,0.382,104.371,-6.234
6os5B6xjuke9YfBKH3tu1e,0.49,0.808,0.475,0.604,73.434,-6.725
0V1771LhL3tG36pb55EZAH,0.497,0.511,0.702,0.591,99.5,-8.318
4n1ZGm3TxYmoYe1YR8cMus,0.432,0.605,0.673,0.647,109.227,-6.941
06ypiqmILMdVeaiErMFA91,0.754,0.571,0.0173,0.82,122.463,-8.547
1H7gMYGykdtwZOV6s1N0by,0.425,0.369,0.183,0.65,176.625,-11.876
4LLBKnNCrSRrSjSTuiwjE9,0.488,0.539,0.136,0.473,115.941,-8.752
5SUlhldQJtOhUr2GzH5RI7,0.534,0.624,0.00797,0.687,121.402,-9.589
64bKVrkaXQAKx04dLHqCNz,0.529,0.567,0.0124,0.799,130.544,-9.796
4GBaPHvAyj4V2jeobD9tsy,0.59,0.641,0.00682,0.792,120.773,-9.687
5By7Pzgl6TMuVJG168VWzS,0.578,0.29,0.652,0.666,117.403,-12.501
19QXdPRZFHI5kNK3tN8Mh7,0.67,0.776,0.0168,0.765,96.93,-10.035
6tQvjqDIK9GXWIC6mejms8,0.699,0.294,0.587,0.893,96.615,-13.205
5E3BVY66TEDexFutOO5GeS,0.667,0.498,0.00772,0.774,85.843,-11.027
3KfbEIOC7YIv90FIfNSZpo,0.688,0.435,0.449,0.435,103.239,-11.359
0CGbof9amBnsNlRhZ8IY2H,0.552,0.487,0.0175,0.657,127.201,-10.574
7C6hdDIz90Uf5YmdZnYbJJ,0.492,0.755,0.00748,0.796,127.387,-9.273
4gUYV3ktbaOeAK5KrXMWV5,0.563,0.705,0.0103,0.822,176.732,-9.232
4cgLt753cDfsBAbpOcGnZi,0.552,0.762,0.133,0.812,101.655,-9.793
0lz97gXzH4DD822L62kLeK,0.48,0.78,0.499,0.498,98.32,-10.99
0oQV9CKXruLbVUTn76eBnr,0.542,0.436,0.933,0.795,109.951,-12.844
3KAbXV1OSwthoke6BqR0y5,0.285,0.652,0.479,0.686,108.395,-10.413
