artistidspotify,artistnamespotify,followers,popularity,genres
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,26469550.0,82.0,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,4308475.0,68.0,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']"
74ASZWbe4lXaubB36ztrGX,Bob Dylan,6291947.0,68.0,"['classic rock', 'country rock', 'folk', 'folk rock', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter']"
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,5189557.0,71.0,"['classic soul', 'motown', 'neo soul', 'northern soul', 'quiet storm', 'soul']"
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,13455698.0,78.0,"['album rock', 'british invasion', 'classic rock', 'rock']"
3RGLhK1IP9jnYFH4BRFJBS,The Clash,2609012.0,66.0,"['alternative rock', 'permanent wave', 'punk', 'rock']"
,,,,
0kbYTNQb4Pb1rPbbaF0pT4,Miles Davis,2460646.0,59.0,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul', 'vocal jazz']"
1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,1805400.0,60.0,"['alternative rock', 'melancholia', 'permanent wave', 'protopunk', 'rock']"
6olE6TJLqED3rqDCT0FyPh,Nirvana,18447864.0,78.0,"['grunge', 'permanent wave', 'rock']"
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,5927886.0,72.0,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
44NX2ffIYHr6D4n7RaZF7A,Van Morrison,3004516.0,69.0,"['classic rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,29230343.0,80.0,"['r&b', 'soul']"
293zczrfYafIItmnmM3coR,Chuck Berry,1887849.0,63.0,"['blues', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
