track_id,danceability,popularity,energy,acousticness,valence,instrumentalness,tempo,loudness
1nFYpnm7F7iJgvKpSdyZXl,0.541,,0.549,0.525,0.251,0.0,135.665,-8.891
55TvHlxObIKvxD1vSn8Q4s,0.308,,0.435,0.869,0.606,0.0,73.768,-13.475
2qnNUfbNRInP0CqsXYMYfF,0.415,,0.798,0.138,0.247,3.8e-06,101.68,-8.059
6eM1ju6kLvgzdnT5mJgSJb,0.372,,0.905,0.0707,0.447,1.51e-05,98.505,-5.931
2PeB3kosc35XamDfXy3eAc,0.338,,0.473,0.769,0.19,4.21e-06,60.671,-16.501
6cWv9xpzoAaBjqRg3mCZi3,0.492,,0.679,0.114,0.459,2.96e-06,82.58,-7.283
0Z8G02M7ncN87m1DexCFC4,0.462,,0.571,0.268,0.158,0.0,80.045,-7.082
20Xtv4fo9ClcgwEGVrdviG,0.347,,0.986,0.185,0.578,8.16e-05,135.923,-6.03
00IrSynHsun7DpDrLkRIjM,0.62,,0.703,0.479,0.559,0.0,136.155,-7.854
51KKQAgYFoJHgVIuJWHdHb,0.732,,0.705,0.626,0.848,0.00068,117.925,-9.271
1jBbbJQfOKyBsJNVng8eIy,0.795,,0.741,0.254,0.961,0.000251,117.906,-6.78
26BtvjUZgQzIgYbXe4e6oR,0.581,,0.878,0.506,0.595,0.0,144.888,-6.784
71GvlH0VdeClloLIkHrAVu,0.791,,0.677,0.776,0.876,0.00121,110.64,-9.724
0qxYx4F3vm1AOnfux6dDxP,0.776,,0.763,0.182,0.82,0.00647,128.433,-8.124
40ZTTezGy5R2Led0sO0kn6,0.536,,0.677,0.459,0.648,0.000205,74.155,-8.593
75fomtP3etOOIJDBAXVawy,0.404,,0.27,0.875,0.294,0.0,91.396,-16.337
5YRzxz5G4vtaj0jOuGaMp8,0.706,,0.623,0.681,0.668,9.31e-05,124.978,-9.63
2WBzF0a3DDzqjNF8V3ApAw,0.722,,0.757,0.107,0.483,2.06e-05,113.991,-7.918
4Yer5J62AsSebsDBr7xla6,0.595,,0.673,0.248,0.879,2.06e-05,178.853,-8.227
22kWVu7uDmXDWENT5fUKH3,0.32,,0.144,0.929,0.341,0.000537,124.651,-17.043
2zUYlhVoLdTFgOXVYmwq5j,0.748,,0.271,0.964,0.715,0.02,110.793,-12.194
4jSqmbZinf7lYyNomskIix,0.586,,0.761,0.393,0.809,1.63e-05,89.126,-8.564
2ZkPJN0lHx7dZSfZ0LdHpE,0.812,,0.818,0.0524,0.973,0.878,121.593,-7.795
1x44b9WUQCferJvgKd2kGi,0.724,,0.77,0.222,0.948,0.76,125.472,-7.859
6qxXWHksQRKpRAjxzuS0Vs,0.645,,0.351,0.736,0.595,5.6e-06,117.822,-16.716
24Mx7vklBWuqFjsHMO8ofZ,0.556,,0.588,0.349,0.666,0.00828,110.58,-7.443
7zrPswSV1yxrill5OyCuaU,0.851,,0.669,0.239,0.911,0.0852,126.624,-9.562
2ouFIPC3O1HNBcVTw1d9AN,0.523,,0.803,0.107,0.921,0.000409,91.469,-6.321
5ciFyVTM7VkO8FzI6BXex5,0.588,,0.855,0.186,0.857,0.868,132.131,-7.094
72aE17MO1hgAziGJa6bQQe,0.591,,0.637,0.128,0.962,0.0195,172.452,-9.102
37OXWNPJ1SJRjWe5Dwic5y,0.555,,0.604,0.436,0.731,1.73e-05,100.152,-8.792
7c830PwjQ4cdfwHaqWGSqR,0.598,,0.798,0.169,0.941,0.000445,93.699,-8.101
1bPFVabzEPFkQF8ucfLVAd,0.472,,0.349,0.553,0.385,0.928,97.505,-7.665
0Y2L2bd7T8JFlvB602sMIw,0.779,,0.776,0.552,0.761,0.000113,119.889,-7.393
3eA6WNRUSli1tKbey3B4wE,0.462,,0.864,0.0129,0.806,0.0172,90.437,-5.655
5ZlLI6n8e3wlOrscAoCKmQ,0.752,,0.831,0.419,0.777,4.84e-05,120.082,-7.112
1cSgFOhbk7CwNL6n0DLeHU,0.839,,0.44,0.458,0.749,0.00135,113.602,-7.112
