sp_artistid,sp_artistname,sp_followers,sp_popularity
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,26469550.0,82.0
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,4308475.0,68.0
74ASZWbe4lXaubB36ztrGX,Bob Dylan,6291947.0,68.0
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,5189557.0,71.0
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,13455698.0,78.0
3RGLhK1IP9jnYFH4BRFJBS,The Clash,2609012.0,66.0
0kbYTNQb4Pb1rPbbaF0pT4,Miles Davis,2460646.0,59.0
1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,1805400.0,60.0
6olE6TJLqED3rqDCT0FyPh,Nirvana,18447864.0,78.0
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,5927886.0,72.0
44NX2ffIYHr6D4n7RaZF7A,Van Morrison,3004516.0,69.0
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,29230343.0,80.0
293zczrfYafIItmnmM3coR,Chuck Berry,1887849.0,63.0
0f8MDDzIc6M4uH1xH0o0gy,Robert Johnson,560657.0,41.0
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,6304709.0,72.0
7GaxyUddsPok8BuhxN6OUW,James Brown,2089206.0,60.0
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,10617420.0,79.0
51Blml2LZPmy7TTiAg47vQ,U2,11668662.0,75.0
67ea9eGLXYMsO2eYQRui3w,The Who,5215637.0,65.0
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,13854731.0,73.0
1co4F2pPNH8JjTutZkmgSm,Ramones,2520836.0,64.0
4vpDg7Y7fU982Ds30zawDA,The Band,1062797.0,58.0
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,9940234.0,74.0
319yZVtYM9MBGqmSQnMyY6,Carole King,1460619.0,59.0
0ECwFtbIWEVNwjlrfc6xoL,Eagles,10080771.0,72.0
3Q6OOkfssqoMSTtl11J5Uk,Love,242278.0,46.0
1u7kkVrr14iBvrpYnZILJR,Sex Pistols,1716051.0,52.0
22WZ7M8sxp5THdruNY3gXt,The Doors,7504894.0,70.0
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,19757189.0,76.0
0vYkHhJ48Bs3jWcvZXvOrP,Patti Smith,1053497.0,54.0
6RCm4Wmrl2T6hgrB5qiA7p,Lew Stone  the Monseigneur Band,1366.0,18.0
2QsynagSdAqZj3U9HgDzjD,Bob Marley  The Wailers,11863502.0,75.0
2hGh5VOeeqimQFxqXvfCUf,John Coltrane,1575950.0,62.0
6Mo9PoU6svvhgEum7wh2Nd,Public Enemy,1040323.0,53.0
70cRZdQywnSFp9pnc2WTCE,Simon  Garfunkel,4888499.0,69.0
3dkbV4qihUeMsqN4vBGg93,Al Green,1873209.0,62.0
1eYhYunlNJlDoQhtYBvPsi,Ray Charles,2123705.0,65.0
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,8852575.0,75.0
5m8H6zSadhu1j9Yi04VLqD,Sly  The Family Stone,995758.0,56.0
3qm84nBOXUEQ2vnTfUTTFC,Guns N Roses,30187350.0,76.0
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,8910636.0,78.0
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,5527254.0,73.0
2CvCyf1gEVhI0mX6aFXmVI,Paul Simon,2204320.0,65.0
2AV6XDIs32ofIJhkkDevjm,Curtis Mayfield,1065053.0,56.0
711MCceyCBcFnzjGY4Q7Un,ACDC,27567082.0,78.0
